"skola","predmet","obor","typ","konali","neuspeli","volba","prumer","odchylka"
"Gymnázium dr. A. Hrdličky. Humpolec. Komenského 147","Anglický jazyk","Gymnázium 4 leté","Didaktický test",17,0,"70.8","80.8","7.5"
"Gymnázium a Obchodní akademie Pelhřimov","Anglický jazyk","Gymnázium 4 leté","Didaktický test",33,0,"77.3","78.5","9.0"
"Gymnázium Havlíčkův Brod","Anglický jazyk","Gymnázium 4 leté","Didaktický test",30,0,"50.8","73.5","11.6"
"Gymnázium Chotěboř","Anglický jazyk","Gymnázium 4 leté","Didaktický test",11,0,"45.8","80.1","8.2"
"Gymnázium. Střední odborná škola a Vyšší odborná škola Ledeč nad Sázavou","Anglický jazyk","Gymnázium 4 leté","Didaktický test",5,0,"100.0","84.1","4.8"
"Gymnázium Jihlava","Anglický jazyk","Gymnázium 4 leté","Didaktický test",68,1,"81.2","70.0","11.6"
"Gymnázium Otokara Březiny a Střední odborná škola Telč","Anglický jazyk","Gymnázium 4 leté","Didaktický test",13,0,"56.5","60.1","15.4"
"Katolické gymnázium Třebíč","Anglický jazyk","Gymnázium 4 leté","Didaktický test",14,0,"58.3","62.0","12.0"
"Gymnázium a Střední odborná škola. Moravské Budějovice. Tyršova 365","Anglický jazyk","Gymnázium 4 leté","Didaktický test",16,0,"59.3","91.7","4.6"
"Gymnázium Třebíč","Anglický jazyk","Gymnázium 4 leté","Didaktický test",44,0,"53.0","73.8","7.5"
"Biskupské gymnázium","Anglický jazyk","Gymnázium 4 leté","Didaktický test",19,0,"76.0","72.5","13.3"
"Gymnázium Velké Meziříčí","Anglický jazyk","Gymnázium 4 leté","Didaktický test",23,0,"76.7","74.0","10.9"
"Gymnázium Vincence Makovského se sportovními třídami Nové Město na Moravě","Anglický jazyk","Gymnázium 4 leté","Didaktický test",27,0,"96.6","74.6","10.9"
"Gymnázium Žďár nad Sázavou","Anglický jazyk","Gymnázium 4 leté","Didaktický test",32,0,"53.3","65.7","11.0"
"Gymnázium Bystřice nad Pernštejnem","Anglický jazyk","Gymnázium 4 leté","Didaktický test",14,0,"77.8","77.5","12.2"
"Akademie - Vyšší odborná škola. Gymnázium a Střední odborná škola uměleckoprůmyslová Světlá nad Sázavou","Anglický jazyk","Gymnázium 4 leté","Didaktický test",11,0,"92.3","55.5","16.2"
"Gymnázium Jihlava","Anglický jazyk","Gymnázium 6 leté","Didaktický test",30,0,"96.8","83.7","7.1"
"Gymnázium a Střední odborná škola. Moravské Budějovice. Tyršova 365","Anglický jazyk","Gymnázium 6 leté","Didaktický test",7,0,"36.8","81.2","11.4"
"Gymnázium Pacov","Anglický jazyk","Gymnázium 6 leté","Didaktický test",22,0,"85.7","75.3","9.9"
"Gymnázium dr. A. Hrdličky. Humpolec. Komenského 147","Anglický jazyk","Gymnázium 8 leté","Didaktický test",20,0,"76.9","73.7","7.2"
"Gymnázium a Obchodní akademie Pelhřimov","Anglický jazyk","Gymnázium 8 leté","Didaktický test",26,0,"92.9","89.0","5.3"
"Gymnázium Havlíčkův Brod","Anglický jazyk","Gymnázium 8 leté","Didaktický test",22,0,"71.0","84.7","4.4"
"Gymnázium Chotěboř","Anglický jazyk","Gymnázium 8 leté","Didaktický test",15,0,"55.6","84.3","9.4"
"Gymnázium. Střední odborná škola a Vyšší odborná škola Ledeč nad Sázavou","Anglický jazyk","Gymnázium 8 leté","Didaktický test",8,0,"38.1","84.1","6.8"
"Gymnázium Jihlava","Anglický jazyk","Gymnázium 8 leté","Didaktický test",22,0,"91.7","91.4","3.3"
"Gymnázium Otokara Březiny a Střední odborná škola Telč","Anglický jazyk","Gymnázium 8 leté","Didaktický test",12,0,"66.7","86.1","5.8"
"Soukromé gymnázium AD FONTES. o.p.s.. Fibichova 18. Jihlava","Anglický jazyk","Gymnázium 8 leté","Didaktický test",19,0,"100.0","66.9","14.1"
"Katolické gymnázium Třebíč","Anglický jazyk","Gymnázium 8 leté","Didaktický test",12,0,"63.2","83.4","7.2"
"Gymnázium Třebíč","Anglický jazyk","Gymnázium 8 leté","Didaktický test",12,0,"54.5","82.3","11.9"
"Biskupské gymnázium","Anglický jazyk","Gymnázium 8 leté","Didaktický test",17,0,"56.7","85.5","10.7"
"Gymnázium Velké Meziříčí","Anglický jazyk","Gymnázium 8 leté","Didaktický test",16,0,"76.2","85.3","6.9"
"Gymnázium Vincence Makovského se sportovními třídami Nové Město na Moravě","Anglický jazyk","Gymnázium 8 leté","Didaktický test",18,0,"90.0","85.2","6.9"
"Gymnázium Žďár nad Sázavou","Anglický jazyk","Gymnázium 8 leté","Didaktický test",12,0,"46.2","89.8","9.0"
"Gymnázium Bystřice nad Pernštejnem","Anglický jazyk","Gymnázium 8 leté","Didaktický test",9,0,"58.8","84.6","10.2"
"Gymnázium a Obchodní akademie Pelhřimov","Anglický jazyk","Lyceum","Didaktický test",8,0,"100.0","66.5","5.0"
"Střední škola obchodní a služeb SČMSD. Žďár nad Sázavou. s.r.o.","Anglický jazyk","Lyceum","Didaktický test",5,0,"66.7","61.9","8.3"
"Střední zdravotnická škola a Vyšší odborná škola zdravotnická Havlíčkův Brod","Anglický jazyk","Lyceum","Didaktický test",20,0,"100.0","56.7","14.4"
"Střední zdravotnická škola a Vyšší odborná škola zdravotnická Žďár nad Sázavou","Anglický jazyk","Lyceum","Didaktický test",23,1,"100.0","61.3","12.4"
"Obchodní akademie a Hotelová škola Havlíčkův Brod","Anglický jazyk","Lyceum","Didaktický test",17,0,"63.0","78.6","6.9"
"Střední průmyslová škola Třebíč","Anglický jazyk","Lyceum","Didaktický test",9,0,"22.5","62.5","12.6"
"Střední průmyslová škola a Střední odborné učiliště Pelhřimov","Anglický jazyk","SOU ostatní (nástavby)","Didaktický test",2,1,"40.0","11.1","11.2"
"Střední škola informatiky a cestovního ruchu SČMSD Humpolec. s.r.o.","Anglický jazyk","SOU ostatní (nástavby)","Didaktický test",5,3,"100.0","16.1","16.5"
"Střední škola průmyslová. technická a automobilní Jihlava","Anglický jazyk","SOU ostatní (nástavby)","Didaktický test",4,1,"33.3","25.2","21.0"
"Střední odborná škola a Střední odborné učiliště Třešť","Anglický jazyk","SOU ostatní (nástavby)","Didaktický test",7,0,"46.7","52.1","6.7"
"Soukromá střední odborná škola a Střední odborné učiliště s.r.o.","Anglický jazyk","SOU ostatní (nástavby)","Didaktický test",4,3,"40.0","8.3","9.8"
"Hotelová škola Světlá a Střední odborná škola řemesel Velké Meziříčí","Anglický jazyk","SOU ostatní (nástavby)","Didaktický test",10,5,"66.7","12.5","15.3"
"Střední škola gastronomická Adolpha Kolpinga","Anglický jazyk","SOU ostatní (nástavby)","Didaktický test",10,0,"64.7","52.1","11.2"
"Střední škola obchodní a služeb SČMSD. Žďár nad Sázavou. s.r.o.","Anglický jazyk","SOU ostatní (nástavby)","Didaktický test",10,3,"68.4","26.8","14.9"
"Akademie - Vyšší odborná škola. Gymnázium a Střední odborná škola uměleckoprůmyslová Světlá nad Sázavou","Anglický jazyk","SOU ostatní (nástavby)","Didaktický test",5,2,"34.8","11.3","3.7"
"Obchodní akademie Dr. Albína Bráfa. Hotelová škola a Jazyková škola s právem státní jazykové zkoušky Třebíč","Anglický jazyk","SOU ostatní (nástavby)","Didaktický test",11,6,"52.4","23.6","18.2"
"Střední průmyslová škola Třebíč","Anglický jazyk","SOU ostatní (nástavby)","Didaktický test",9,2,"62.5","28.9","16.8"
"TRIVIS - Střední škola veřejnoprávní Jihlava. s.r.o.","Anglický jazyk","SOU ostatní (nástavby)","Didaktický test",0,0,"62.5",,
"Soukromá střední škola pedagogiky a sociálních služeb. s.r.o.","Anglický jazyk","SOU ostatní (nástavby)","Didaktický test",3,3,"50.0","6.3","2.4"
"Střední škola stavební Třebíč","Anglický jazyk","SOU technické (nástavby)","Didaktický test",5,0,"30.0","58.0","10.1"
"Střední škola stavební Jihlava","Anglický jazyk","SOU technické (nástavby)","Didaktický test",7,0,"77.8","44.5","8.2"
"Gymnázium a Obchodní akademie Pelhřimov","Anglický jazyk","SOŠ ekonomické","Didaktický test",17,0,"78.3","63.5","8.4"
"Vyšší odborná škola. Obchodní akademie a Střední odborné učiliště technické Chotěboř","Anglický jazyk","SOŠ ekonomické","Didaktický test",21,1,"91.3","57.9","13.3"
"Obchodní akademie. Střední zdravotnická škola. Střední odborná škola služeb a Jazyková škola s právem státní jazykové zkoušky Jihlava","Anglický jazyk","SOŠ ekonomické","Didaktický test",38,1,"85.2","59.1","12.8"
"Střední škola obchodní a služeb SČMSD. Žďár nad Sázavou. s.r.o.","Anglický jazyk","SOŠ ekonomické","Didaktický test",8,1,"78.6","49.8","18.9"
"Obchodní akademie a Hotelová škola Havlíčkův Brod","Anglický jazyk","SOŠ ekonomické","Didaktický test",10,0,"52.2","51.9","12.4"
"Obchodní akademie Dr. Albína Bráfa. Hotelová škola a Jazyková škola s právem státní jazykové zkoušky Třebíč","Anglický jazyk","SOŠ ekonomické","Didaktický test",48,1,"77.9","59.9","12.3"
"Vyšší odborná škola a Střední škola hotelová SČMSD Pelhřimov. s.r.o.","Anglický jazyk","SOŠ hotelové a podnikatelské","Didaktický test",6,0,"62.5","51.0","8.1"
"Škola ekonomiky a cestovního ruchu. soukromá střední odborná škola s.r.o.                                                       Rantířovská 9. 586 05  Jihlava","Anglický jazyk","SOŠ hotelové a podnikatelské","Didaktický test",5,0,"100.0","67.4","10.8"
"Obchodní akademie. Střední zdravotnická škola. Střední odborná škola služeb a Jazyková škola s právem státní jazykové zkoušky Jihlava","Anglický jazyk","SOŠ hotelové a podnikatelské","Didaktický test",21,1,"100.0","38.7","10.7"
"Střední uměleckoprůmyslová škola Jihlava - Helenín. Hálkova 42","Anglický jazyk","SOŠ hotelové a podnikatelské","Didaktický test",14,0,"100.0","51.5","12.3"
"Hotelová škola Světlá a Střední odborná škola řemesel Velké Meziříčí","Anglický jazyk","SOŠ hotelové a podnikatelské","Didaktický test",31,4,"83.0","36.4","18.1"
"Vyšší odborná škola a Střední průmyslová škola Žďár nad Sázavou","Anglický jazyk","SOŠ hotelové a podnikatelské","Didaktický test",12,0,"44.8","51.2","15.5"
"Obchodní akademie a Hotelová škola Havlíčkův Brod","Anglický jazyk","SOŠ hotelové a podnikatelské","Didaktický test",14,0,"66.7","62.3","13.2"
"Obchodní akademie Dr. Albína Bráfa. Hotelová škola a Jazyková škola s právem státní jazykové zkoušky Třebíč","Anglický jazyk","SOŠ hotelové a podnikatelské","Didaktický test",49,0,"96.2","55.6","12.5"
