"skola","predmet","obor","typ","konali","neuspeli","volba","prumer","odchylka"
"Gymnázium a Střední odborná škola pedagogická. Liberec. Jeronýmova 425/27. příspěvková organizace","Anglický jazyk","Gymnázium 4 leté","Didaktický test",22,0,"36.7","87.0","4.4"
"Gymnázium a Střední odborná škola pedagogická. Liberec. Jeronýmova 425/27. příspěvková organizace","Anglický jazyk","Gymnázium 4 leté","Písemná práce",22,0,"36.7","78.7","7.5"
"Gymnázium a Střední odborná škola pedagogická. Liberec. Jeronýmova 425/27. příspěvková organizace","Anglický jazyk","Gymnázium 4 leté","Ústní zkouška",22,0,"36.7","75.0","6.3"
"Gymnázium a Střední odborná škola pedagogická. Liberec. Jeronýmova 425/27. příspěvková organizace","Český jazyk a literatura","Gymnázium 4 leté","Didaktický test",60,0,"100.0","84.5","9.6"
"Gymnázium a Střední odborná škola pedagogická. Liberec. Jeronýmova 425/27. příspěvková organizace","Český jazyk a literatura","Gymnázium 4 leté","Písemná práce",60,0,"100.0","80.7","10.8"
"Gymnázium a Střední odborná škola pedagogická. Liberec. Jeronýmova 425/27. příspěvková organizace","Český jazyk a literatura","Gymnázium 4 leté","Ústní zkouška",60,0,"100.0","71.5","12.9"
"Gymnázium a Střední odborná škola pedagogická. Liberec. Jeronýmova 425/27. příspěvková organizace","Matematika","Gymnázium 4 leté","Didaktický test",34,0,"56.7","66.1","17.7"
"Gymnázium a Střední odborná škola pedagogická. Liberec. Jeronýmova 425/27. příspěvková organizace","Německý jazyk","Gymnázium 4 leté","Didaktický test",4,0,"6.7","86.1","4.1"
"Gymnázium a Střední odborná škola pedagogická. Liberec. Jeronýmova 425/27. příspěvková organizace","Německý jazyk","Gymnázium 4 leté","Písemná práce",4,0,"6.7","85.2","5.8"
"Gymnázium a Střední odborná škola pedagogická. Liberec. Jeronýmova 425/27. příspěvková organizace","Německý jazyk","Gymnázium 4 leté","Ústní zkouška",4,0,"6.7","77.0","3.8"
"Gymnázium a Střední odborná škola. Jilemnice. Tkalcovská 460. příspěvková organizace","Anglický jazyk","Gymnázium 4 leté","Didaktický test",21,0,"67.7","71.5","10.3"
"Gymnázium a Střední odborná škola. Jilemnice. Tkalcovská 460. příspěvková organizace","Anglický jazyk","Gymnázium 4 leté","Písemná práce",21,0,"67.7","60.1","12.3"
"Gymnázium a Střední odborná škola. Jilemnice. Tkalcovská 460. příspěvková organizace","Anglický jazyk","Gymnázium 4 leté","Ústní zkouška",21,0,"67.7","62.8","13.5"
"Gymnázium a Střední odborná škola. Jilemnice. Tkalcovská 460. příspěvková organizace","Český jazyk a literatura","Gymnázium 4 leté","Didaktický test",31,1,"100.0","64.4","12.3"
"Gymnázium a Střední odborná škola. Jilemnice. Tkalcovská 460. příspěvková organizace","Český jazyk a literatura","Gymnázium 4 leté","Písemná práce",31,0,"100.0","69.2","11.9"
"Gymnázium a Střední odborná škola. Jilemnice. Tkalcovská 460. příspěvková organizace","Český jazyk a literatura","Gymnázium 4 leté","Ústní zkouška",31,0,"100.0","57.2","12.8"
"Gymnázium a Střední odborná škola. Jilemnice. Tkalcovská 460. příspěvková organizace","Matematika","Gymnázium 4 leté","Didaktický test",5,0,"16.1","47.4","11.6"
"Gymnázium a Střední odborná škola. Jilemnice. Tkalcovská 460. příspěvková organizace","Německý jazyk","Gymnázium 4 leté","Didaktický test",5,0,"16.1","69.1","18.5"
"Gymnázium a Střední odborná škola. Jilemnice. Tkalcovská 460. příspěvková organizace","Německý jazyk","Gymnázium 4 leté","Písemná práce",5,0,"16.1","72.8","8.7"
"Gymnázium a Střední odborná škola. Jilemnice. Tkalcovská 460. příspěvková organizace","Německý jazyk","Gymnázium 4 leté","Ústní zkouška",5,0,"16.1","63.4","12.7"
"Gymnázium Dr. Antona Randy. Jablonec nad Nisou. příspěvková organizace","Anglický jazyk","Gymnázium 4 leté","Didaktický test",38,0,"77.4","72.8","12.5"
"Gymnázium Dr. Antona Randy. Jablonec nad Nisou. příspěvková organizace","Anglický jazyk","Gymnázium 4 leté","Písemná práce",38,0,"77.4","70.7","9.2"
"Gymnázium Dr. Antona Randy. Jablonec nad Nisou. příspěvková organizace","Anglický jazyk","Gymnázium 4 leté","Ústní zkouška",38,1,"77.4","49.8","17.2"
"Gymnázium Dr. Antona Randy. Jablonec nad Nisou. příspěvková organizace","Český jazyk a literatura","Gymnázium 4 leté","Didaktický test",49,5,"100.0","68.6","16.4"
"Gymnázium Dr. Antona Randy. Jablonec nad Nisou. příspěvková organizace","Český jazyk a literatura","Gymnázium 4 leté","Písemná práce",49,0,"100.0","52.7","13.4"
"Gymnázium Dr. Antona Randy. Jablonec nad Nisou. příspěvková organizace","Český jazyk a literatura","Gymnázium 4 leté","Ústní zkouška",49,2,"100.0","48.1","21.3"
