"skola","predmet","obor","typ","konali","neuspeli","volba","prumer","odchylka"
"Gymnázium J. Š. Baara. Domažlice. Pivovarská 323","Anglický jazyk","Gymnázium 4 leté","Didaktický test",7,0,"33.3","65.4","6.6"
"Gymnázium Jaroslava Vrchlického. Klatovy. Národních mučedníků 347","Anglický jazyk","Gymnázium 4 leté","Didaktický test",20,0,"47.8","79.1","8.2"
"Gymnázium. Sušice. Fr. Procházky 324","Anglický jazyk","Gymnázium 4 leté","Didaktický test",6,0,"30.0","76.8","7.2"
"Sportovní gymnázium. Plzeň. Táborská 28","Anglický jazyk","Gymnázium 4 leté","Didaktický test",36,0,"74.5","62.2","11.0"
"Masarykovo gymnázium.  Plzeň.  Petákova 2","Anglický jazyk","Gymnázium 4 leté","Didaktický test",25,0,"42.6","74.9","7.1"
"Gymnázium Luďka Pika. Plzeň. Opavská 21","Anglický jazyk","Gymnázium 4 leté","Didaktický test",21,1,"63.6","68.5","13.7"
"Gymnázium. Plzeň. Mikulášské nám. 23","Anglický jazyk","Gymnázium 4 leté","Didaktický test",29,0,"57.1","67.1","9.6"
"Církevní gymnázium Plzeň","Anglický jazyk","Gymnázium 4 leté","Didaktický test",18,0,"50.0","79.9","8.6"
"Gymnázium Františka Křižíka a základní škola. s.r.o.","Anglický jazyk","Gymnázium 4 leté","Didaktický test",4,0,"80.0","80.8","5.5"
"Gymnázium. Blovice. Družstevní 650","Anglický jazyk","Gymnázium 4 leté","Didaktický test",21,0,"95.5","76.4","10.5"
"Gymnázium a Střední odborná škola. Plasy","Anglický jazyk","Gymnázium 4 leté","Didaktický test",5,0,"45.5","71.0","11.8"
"Gymnázium a Střední odborná škola. Rokycany. Mládežníků 1115","Anglický jazyk","Gymnázium 4 leté","Didaktický test",14,0,"89.5","83.4","6.8"
"Gymnázium J. Š. Baara. Domažlice. Pivovarská 323","Anglický jazyk","Gymnázium 6 leté","Didaktický test",7,0,"25.0","71.1","14.4"
"Gymnázium Jaroslava Vrchlického. Klatovy. Národních mučedníků 347","Anglický jazyk","Gymnázium 6 leté","Didaktický test",13,0,"48.1","66.9","7.7"
"Gymnázium Luďka Pika. Plzeň. Opavská 21","Anglický jazyk","Gymnázium 6 leté","Didaktický test",9,0,"32.1","87.9","8.6"
"Gymnázium. Tachov. Pionýrská 1370","Anglický jazyk","Gymnázium 6 leté","Didaktický test",14,1,"60.9","71.5","16.3"
"Gymnázium J. Š. Baara. Domažlice. Pivovarská 323","Anglický jazyk","Gymnázium 8 leté","Didaktický test",8,0,"39.1","79.0","11.7"
"Gymnázium Jaroslava Vrchlického. Klatovy. Národních mučedníků 347","Anglický jazyk","Gymnázium 8 leté","Didaktický test",15,0,"53.3","85.2","7.9"
"Gymnázium. Sušice. Fr. Procházky 324","Anglický jazyk","Gymnázium 8 leté","Didaktický test",5,0,"25.9","94.6","2.6"
"Sportovní gymnázium. Plzeň. Táborská 28","Anglický jazyk","Gymnázium 8 leté","Didaktický test",10,0,"40.0","82.7","5.4"
"Masarykovo gymnázium.  Plzeň.  Petákova 2","Anglický jazyk","Gymnázium 8 leté","Didaktický test",23,0,"41.8","85.5","6.5"
"Gymnázium Luďka Pika. Plzeň. Opavská 21","Anglický jazyk","Gymnázium 8 leté","Didaktický test",11,0,"36.4","79.2","9.8"
"Gymnázium. Plzeň. Mikulášské nám. 23","Anglický jazyk","Gymnázium 8 leté","Didaktický test",11,0,"38.7","91.7","2.4"
"Církevní gymnázium Plzeň","Anglický jazyk","Gymnázium 8 leté","Didaktický test",10,0,"29.4","78.7","7.0"
"Gymnázium Františka Křižíka a základní škola. s.r.o.","Anglický jazyk","Gymnázium 8 leté","Didaktický test",21,0,"95.8","82.7","9.0"
"Gymnázium. Blovice. Družstevní 650","Anglický jazyk","Gymnázium 8 leté","Didaktický test",15,0,"88.2","74.0","10.0"
"Gymnázium a Střední odborná škola. Plasy","Anglický jazyk","Gymnázium 8 leté","Didaktický test",7,0,"35.0","87.3","5.0"
"Gymnázium a Střední odborná škola. Rokycany. Mládežníků 1115","Anglický jazyk","Gymnázium 8 leté","Didaktický test",12,0,"54.2","90.2","4.1"
"Gymnázium. Stříbro. Soběslavova 1426","Anglický jazyk","Gymnázium 8 leté","Didaktický test",16,0,"61.5","78.5","9.1"
"Vyšší odborná škola. Obchodní akademie. Střední zdravotnická škola a Jazyková škola s právem státní jazykové zkoušky. Klatovy. Plánická 196","Anglický jazyk","Lyceum","Didaktický test",13,0,"93.3","45.1","13.0"
"Vyšší odborná škola a Střední průmyslová škola elektrotechnická. Plzeň. Koterovská 85","Anglický jazyk","Lyceum","Didaktický test",7,0,"31.8","82.1","11.0"
"Obchodní akademie. Plzeň. nám. T. G. Masaryka 13","Anglický jazyk","Lyceum","Didaktický test",27,0,"84.4","72.2","10.9"
"Střední průmyslová škola stavební. Plzeň. Chodské náměstí 2","Anglický jazyk","Lyceum","Didaktický test",12,1,"44.8","74.8","18.2"
"Gymnázium a Střední odborná škola. Rokycany. Mládežníků 1115","Anglický jazyk","Lyceum","Didaktický test",19,2,"84.6","56.2","17.7"
"Střední odborná škola. Stříbro. Benešova 508","Anglický jazyk","Lyceum","Didaktický test",9,0,"78.6","45.5","7.3"
"Střední zdravotnická škola a Vyšší odborná škola zdravotnická. Plzeň. Karlovarská 99","Anglický jazyk","Lyceum","Didaktický test",24,2,"85.7","58.4","17.4"
"Střední průmyslová škola strojnická a Střední odborná škola profesora Švejcara. Plzeň. Klatovská 109","Anglický jazyk","Lyceum","Didaktický test",24,1,"83.3","59.8","14.0"
"Základní škola. Střední odborná škola a Gymnázium BEAN s.r.o.","Anglický jazyk","SOU ostatní (nástavby)","Didaktický test",5,4,"62.5","5.8","7.6"
"Střední odborné učiliště. Domažlice. Prokopa Velikého 640","Anglický jazyk","SOU ostatní (nástavby)","Didaktický test",8,1,"39.4","35.4","17.8"
"Střední škola. Horažďovice. Blatenská 313","Anglický jazyk","SOU ostatní (nástavby)","Didaktický test",4,3,"63.6","6.5","16.6"
"Střední odborná škola a Střední odborné učiliště. Sušice. U Kapličky 761","Anglický jazyk","SOU ostatní (nástavby)","Didaktický test",5,3,"69.2","10.4","6.7"
"Střední škola zemědělská a potravinářská. Klatovy. Národních mučedníků 141","Anglický jazyk","SOU ostatní (nástavby)","Didaktický test",8,0,"48.1","45.3","9.2"
"Akademie hotelnictví a cestovního ruchu - střední škola. s.r.o.","Anglický jazyk","SOU ostatní (nástavby)","Didaktický test",5,0,"87.5","22.2","1.8"
"Hotelová škola. Plzeň. U Borského parku 3","Anglický jazyk","SOU ostatní (nástavby)","Didaktický test",15,6,"100.0","22.3","18.9"
"Střední odborné učiliště obchodu a řemesel. spol. s r. o.","Anglický jazyk","SOU ostatní (nástavby)","Didaktický test",5,2,"42.9","22.4","17.1"
"Střední škola. Rokycany. Jeřabinová 96/III","Anglický jazyk","SOU ostatní (nástavby)","Didaktický test",5,3,"43.8","12.5","11.4"
"Střední odborné učiliště a Základní škola. Planá","Anglický jazyk","SOU ostatní (nástavby)","Didaktický test",3,0,"40.0","60.1","17.9"
"Střední odborná škola a Střední odborné učiliště. Horšovský Týn. Littrowa 122","Anglický jazyk","SOU ostatní (nástavby)","Didaktický test",4,1,"30.8","24.8","13.8"
"Integrovaná střední škola živnostenská. Plzeň. Škroupova 13","Anglický jazyk","SOU ostatní (nástavby)","Didaktický test",12,2,"68.0","26.4","15.6"
"Střední průmyslová škola dopravní. Plzeň. Karlovarská 99","Anglický jazyk","SOU ostatní (nástavby)","Didaktický test",23,8,"65.7","28.2","19.6"
"Střední škola. Rokycany. Jeřabinová 96/III","Anglický jazyk","SOU technické (nástavby)","Didaktický test",10,7,"100.0","14.5","17.2"
"Střední odborné učiliště elektrotechnické. Plzeň. Vejprnická 56","Anglický jazyk","SOU technické (nástavby)","Didaktický test",12,2,"38.2","37.2","17.5"
"Základní škola. Střední odborná škola a Gymnázium BEAN s.r.o.","Anglický jazyk","SOŠ ekonomické","Didaktický test",8,0,"52.6","44.3","12.9"
"Vyšší odborná škola. Obchodní akademie a Střední zdravotnická škola Domažlice. Erbenova 184","Anglický jazyk","SOŠ ekonomické","Didaktický test",14,0,"76.2","49.2","15.7"
"Vyšší odborná škola. Obchodní akademie. Střední zdravotnická škola a Jazyková škola s právem státní jazykové zkoušky. Klatovy. Plánická 196","Anglický jazyk","SOŠ ekonomické","Didaktický test",36,1,"82.6","58.9","13.0"
"Obchodní akademie. Plzeň. nám. T. G. Masaryka 13","Anglický jazyk","SOŠ ekonomické","Didaktický test",99,0,"88.8","64.4","12.0"
"PLZEŇSKÁ OBCHODNÍ AKADEMIE s.r.o.","Anglický jazyk","SOŠ ekonomické","Didaktický test",12,1,"65.2","46.2","16.1"
"Gymnázium a Střední odborná škola. Plasy","Anglický jazyk","SOŠ ekonomické","Didaktický test",6,0,"81.8","43.4","18.5"
"Gymnázium. Stříbro. Soběslavova 1426","Anglický jazyk","SOŠ ekonomické","Didaktický test",26,0,"96.7","62.9","13.8"
"Střední průmyslová škola. Klatovy. nábřeží Kpt. Nálepky 362","Anglický jazyk","SOŠ hotelové a podnikatelské","Didaktický test",9,0,"100.0","56.9","13.2"
"Střední odborná škola a Střední odborné učiliště. Sušice. U Kapličky 761","Anglický jazyk","SOŠ hotelové a podnikatelské","Didaktický test",10,1,"84.6","33.6","13.4"
"Střední škola zemědělská a potravinářská. Klatovy. Národních mučedníků 141","Anglický jazyk","SOŠ hotelové a podnikatelské","Didaktický test",6,0,"75.0","29.2","9.5"
"Střední odborná škola obchodu. užitého umění a designu. Plzeň. Nerudova 33","Anglický jazyk","SOŠ hotelové a podnikatelské","Didaktický test",48,1,"96.2","49.4","16.1"
