"skola","predmet","obor","typ","konali","neuspeli","volba","prumer","odchylka"
"Střední průmyslová škola Loket","Anglický jazyk","SOŠ technické 1","Písemná práce",36,1,"90.7","55.1","14.0"
"Integrovaná střední škola Cheb","Anglický jazyk","SOŠ technické 1","Písemná práce",9,0,"64.3","60.5","12.7"
"Integrovaná střední škola technická a ekonomická Sokolov","Anglický jazyk","SOŠ technické 1","Písemná práce",10,0,"63.2","49.3","11.3"
"Střední odborná škola logistická a střední odborné učiliště Dalovice","Anglický jazyk","SOŠ technické 2","Písemná práce",27,1,"82.5","56.0","15.7"
"Střední průmyslová škola keramická a sklářská Karlovy Vary","Anglický jazyk","SOŠ umělecké","Písemná práce",39,0,"100.0","58.7","14.1"
"Střední zdravotnická škola a vyšší odborná škola Cheb","Anglický jazyk","SOŠ zdravotnické","Písemná práce",6,0,"35.0","43.6","12.9"
"Střední zdravotnická škola a vyšší odborná škola zdravotnická Karlovy Vary","Anglický jazyk","SOŠ zdravotnické","Písemná práce",36,1,"65.2","58.2","15.1"
"Střední zemědělská škola Dalovice","Anglický jazyk","SOŠ zemědělské","Písemná práce",9,1,"47.8","28.7","16.1"
"Střední lesnická škola Žlutice","Anglický jazyk","SOŠ zemědělské","Písemná práce",6,0,"56.3","25.5","8.9"
"Střední odborné učiliště stravování a služeb Karlovy Vary","Anglický jazyk","SOU ostatní","Písemná práce",5,0,"35.0","36.7","12.3"
"Střední zdravotnická škola a vyšší odborná škola Cheb","Anglický jazyk","SOU ostatní","Písemná práce",5,0,"54.5","67.1","11.2"
"Střední zdravotnická škola a vyšší odborná škola zdravotnická Karlovy Vary","Anglický jazyk","SOU ostatní","Písemná práce",12,0,"60.9","49.3","13.9"
"Střední škola živnostenská Sokolov. příspěvková organizace","Anglický jazyk","SOU ostatní","Písemná práce",7,0,"60.0","28.6","12.7"
"Střední průmyslová škola Ostrov","Anglický jazyk","SOU technické","Písemná práce",15,0,"58.1","50.4","14.1"
"Střední odborná škola Karlovy Vary. s.r.o.","Anglický jazyk","SOU technické","Písemná práce",7,1,"77.8","34.9","21.9"
