"skola","predmet","obor","typ","konali","neuspeli","volba","prumer","odchylka"
"Gymnázium Otrokovice","Anglický jazyk","Gymnázium 4 leté","Didaktický test",11,0,"68.8","53.3","14.2"
"Gymnázium Jana Pivečky a Střední odborná škola Slavičín","Anglický jazyk","Gymnázium 4 leté","Didaktický test",9,0,"60.0","59.2","14.4"
"Gymnázium Valašské Klobouky","Anglický jazyk","Gymnázium 4 leté","Didaktický test",17,0,"68.0","71.7","8.4"
"Gymnázium Zlín - Lesní čtvrť","Anglický jazyk","Gymnázium 4 leté","Didaktický test",82,0,"71.6","81.1","7.8"
"Gymnázium a Jazyková škola s právem státní jazykové zkoušky Zlín","Anglický jazyk","Gymnázium 4 leté","Didaktický test",95,0,"86.4","72.7","10.5"
"Gymnázium Kroměříž. Masarykovo náměstí 496","Anglický jazyk","Gymnázium 4 leté","Didaktický test",20,0,"65.6","74.5","11.8"
"Arcibiskupské gymnázium v Kroměříži","Anglický jazyk","Gymnázium 4 leté","Didaktický test",44,0,"60.3","64.7","14.3"
"Gymnázium Ladislava Jaroše Holešov","Anglický jazyk","Gymnázium 4 leté","Didaktický test",16,0,"47.2","68.3","10.1"
"Gymnázium Uherské Hradiště","Anglický jazyk","Gymnázium 4 leté","Didaktický test",73,0,"61.3","83.8","5.9"
"Gymnázium J.A.Komenského a Jazyková škola s právem státní jazykové zkoušky Uherský Brod","Anglický jazyk","Gymnázium 4 leté","Didaktický test",32,0,"60.0","76.6","8.9"
"Střední odborná škola a Gymnázium Staré Město","Anglický jazyk","Gymnázium 4 leté","Didaktický test",37,0,"65.0","72.3","8.7"
"Masarykovo gymnázium. Střední zdravotnická škola a Vyšší odborná škola zdravotnická Vsetín","Anglický jazyk","Gymnázium 4 leté","Didaktický test",48,0,"59.8","70.6","10.1"
"Gymnázium Františka Palackého Valašské Meziříčí","Anglický jazyk","Gymnázium 4 leté","Didaktický test",42,0,"71.2","74.6","10.7"
"Gymnázium Rožnov pod Radhoštěm","Anglický jazyk","Gymnázium 4 leté","Didaktický test",29,0,"66.7","70.8","11.2"
"Stojanovo gymnázium. Velehrad","Anglický jazyk","Gymnázium 4 leté","Didaktický test",39,0,"69.0","74.8","7.2"
"Gymnázium Otrokovice","Anglický jazyk","Gymnázium 6 leté","Didaktický test",17,0,"73.9","76.8","11.7"
"Arcibiskupské gymnázium v Kroměříži","Anglický jazyk","Gymnázium 6 leté","Didaktický test",8,0,"56.3","73.6","11.6"
"Gymnázium Františka Palackého Valašské Meziříčí","Anglický jazyk","Gymnázium 6 leté","Didaktický test",13,0,"56.5","82.0","8.6"
"Gymnázium Jana Pivečky a Střední odborná škola Slavičín","Anglický jazyk","Gymnázium 8 leté","Didaktický test",17,0,"68.0","79.3","7.8"
"Gymnázium Valašské Klobouky","Anglický jazyk","Gymnázium 8 leté","Didaktický test",16,0,"88.9","84.1","5.6"
"Gymnázium Zlín - Lesní čtvrť","Anglický jazyk","Gymnázium 8 leté","Didaktický test",31,0,"54.4","92.1","3.0"
"Gymnázium a Jazyková škola s právem státní jazykové zkoušky Zlín","Anglický jazyk","Gymnázium 8 leté","Didaktický test",24,0,"92.3","87.8","7.5"
"Gymnázium Kroměříž. Masarykovo náměstí 496","Anglický jazyk","Gymnázium 8 leté","Didaktický test",29,0,"64.4","85.8","6.9"
"Gymnázium Uherské Hradiště","Anglický jazyk","Gymnázium 8 leté","Didaktický test",28,0,"51.9","91.2","5.7"
"Gymnázium J.A.Komenského a Jazyková škola s právem státní jazykové zkoušky Uherský Brod","Anglický jazyk","Gymnázium 8 leté","Didaktický test",21,0,"46.7","82.1","8.5"
"Masarykovo gymnázium. Střední zdravotnická škola a Vyšší odborná škola zdravotnická Vsetín","Anglický jazyk","Gymnázium 8 leté","Didaktický test",19,0,"73.1","86.5","4.0"
"Gymnázium Rožnov pod Radhoštěm","Anglický jazyk","Gymnázium 8 leté","Didaktický test",15,0,"72.7","87.7","7.3"
"Střední průmyslová škola Zlín","Anglický jazyk","Lyceum","Didaktický test",5,0,"18.5","80.5","4.3"
"Střední škola Kostka s.r.o.","Anglický jazyk","Lyceum","Didaktický test",19,0,"90.5","64.1","12.8"
"Gymnázium Jana Pivečky a Střední odborná škola Slavičín","Anglický jazyk","SOU ostatní (nástavby)","Didaktický test",3,2,"33.3","9.2","15.9"
"Střední škola hotelová Zlín. s.r.o.","Anglický jazyk","SOU ostatní (nástavby)","Didaktický test",5,2,"50.0","20.1","11.9"
"Střední škola gastronomie a obchodu Zlín","Anglický jazyk","SOU ostatní (nástavby)","Didaktický test",15,0,"90.9","33.3","10.0"
"Střední škola obchodně technická s.r.o.","Anglický jazyk","SOU ostatní (nástavby)","Didaktický test",6,1,"69.2","22.8","12.6"
"Střední škola oděvní a služeb Vizovice","Anglický jazyk","SOU ostatní (nástavby)","Didaktický test",10,1,"91.7","45.2","14.0"
"Střední odborné učiliště Valašské Klobouky","Anglický jazyk","SOU ostatní (nástavby)","Didaktický test",12,10,"85.7","5.2","6.8"
"Střední škola hotelová a služeb Kroměříž","Anglický jazyk","SOU ostatní (nástavby)","Didaktický test",6,0,"100.0","58.1","13.9"
"Střední odborné učiliště Uherský Brod","Anglický jazyk","SOU ostatní (nástavby)","Didaktický test",12,0,"34.1","59.9","8.0"
"Střední průmyslová škola a Obchodní akademie Uherský Brod","Anglický jazyk","SOU ostatní (nástavby)","Didaktický test",12,1,"88.9","42.0","13.2"
"Střední škola služeb s.r.o.","Anglický jazyk","SOU ostatní (nástavby)","Didaktický test",8,2,"81.8","29.4","18.5"
"Střední škola MESIT. o.p.s.","Anglický jazyk","SOU ostatní (nástavby)","Didaktický test",3,0,"36.4","45.1","2.6"
"Střední škola informatiky. elektrotechniky a řemesel Rožnov pod Radhoštěm","Anglický jazyk","SOU ostatní (nástavby)","Didaktický test",16,1,"90.0","45.9","11.6"
"Střední odborná škola Josefa Sousedíka Vsetín","Anglický jazyk","SOU ostatní (nástavby)","Didaktický test",9,0,"61.1","30.5","13.6"
"Střední škola podnikatelská a Vyšší odborná škola. s.r.o.","Anglický jazyk","SOU ostatní (nástavby)","Didaktický test",8,2,"56.5","36.6","15.8"
"Integrovaná střední škola - Centrum odborné přípravy a Jazyková škola s právem státní jazykové zkoušky Valašské Meziříčí","Anglický jazyk","SOU ostatní (nástavby)","Didaktický test",5,1,"44.0","30.0","18.4"
"Střední průmyslová škola Otrokovice","Anglický jazyk","SOU technické (nástavby)","Didaktický test",12,1,"86.7","38.2","15.4"
"Střední škola MESIT. o.p.s.","Anglický jazyk","SOU technické (nástavby)","Didaktický test",6,0,"47.1","38.6","10.3"
