"skola","predmet","obor","typ","konali","neuspeli","volba","prumer","odchylka"
"Gymnázium K. V. Raise. Hlinsko. Adámkova 55","Anglický jazyk","Gymnázium 4 leté","Didaktický test",11,0,"50.0","74.7","7.9"
"Gymnázium Josefa Ressela. Chrudim. Olbrachtova 291","Anglický jazyk","Gymnázium 4 leté","Didaktický test",20,0,"33.3","73.6","10.8"
"Anglické gymnázium. Střední odborná škola a Vyšší odborná škola. s.r.o.","Anglický jazyk","Gymnázium 4 leté","Didaktický test",23,0,"92.3","79.6","9.5"
"Gymnázium Dr. Emila Holuba. Holice. Na Mušce 1110","Anglický jazyk","Gymnázium 4 leté","Didaktický test",27,0,"100.0","68.7","10.1"
"Gymnázium. Pardubice. Dašická 1083","Anglický jazyk","Gymnázium 4 leté","Didaktický test",40,0,"66.7","84.2","8.1"
"Sportovní gymnázium. Pardubice. Dašická 268","Anglický jazyk","Gymnázium 4 leté","Didaktický test",21,0,"56.5","52.8","12.7"
"Gymnázium. Pardubice. Mozartova 449","Anglický jazyk","Gymnázium 4 leté","Didaktický test",54,0,"63.2","80.4","7.3"
"Gymnázium Aloise Jiráska. Litomyšl. T. G. Masaryka 590","Anglický jazyk","Gymnázium 4 leté","Didaktický test",11,0,"34.4","85.3","6.4"
"Gymnázium. Jevíčko. A. K. Vitáka 452","Anglický jazyk","Gymnázium 4 leté","Didaktický test",21,0,"65.6","64.2","11.9"
"Gymnázium a Jazyková škola s právem státní jazykové zkoušky Svitavy","Anglický jazyk","Gymnázium 4 leté","Didaktický test",14,0,"50.0","86.1","6.6"
"Gymnázium. Polička. nábřeží Svobody 306","Anglický jazyk","Gymnázium 4 leté","Didaktický test",12,0,"38.7","86.6","3.6"
"Gymnázium. Česká Třebová. Tyršovo náměstí 970","Anglický jazyk","Gymnázium 4 leté","Didaktický test",27,1,"87.5","67.3","15.0"
"Gymnázium. Lanškroun. nám. Jana Marka Marků 113","Anglický jazyk","Gymnázium 4 leté","Didaktický test",12,0,"44.4","69.8","11.3"
"Gymnázium. Ústí nad Orlicí. T. G. Masaryka 106","Anglický jazyk","Gymnázium 4 leté","Didaktický test",14,0,"48.3","63.5","14.1"
"Gymnázium Vysoké Mýto","Anglický jazyk","Gymnázium 4 leté","Didaktický test",9,0,"34.6","78.3","10.2"
"Gymnázium Žamberk","Anglický jazyk","Gymnázium 4 leté","Didaktický test",11,0,"39.3","72.5","11.6"
"Gymnázium K. V. Raise. Hlinsko. Adámkova 55","Anglický jazyk","Gymnázium 8 leté","Didaktický test",18,0,"75.0","81.0","6.3"
"Gymnázium Josefa Ressela. Chrudim. Olbrachtova 291","Anglický jazyk","Gymnázium 8 leté","Didaktický test",6,0,"24.0","80.9","4.4"
"Gymnázium Dr. Emila Holuba. Holice. Na Mušce 1110","Anglický jazyk","Gymnázium 8 leté","Didaktický test",20,0,"90.9","81.1","10.7"
"Gymnázium. Pardubice. Dašická 1083","Anglický jazyk","Gymnázium 8 leté","Didaktický test",53,0,"88.3","88.4","5.3"
"Gymnázium Aloise Jiráska. Litomyšl. T. G. Masaryka 590","Anglický jazyk","Gymnázium 8 leté","Didaktický test",10,0,"34.5","87.3","8.4"
"Gymnázium. Jevíčko. A. K. Vitáka 452","Anglický jazyk","Gymnázium 8 leté","Didaktický test",7,0,"46.7","72.8","13.1"
"Gymnázium. Moravská Třebová. Svitavská 310","Anglický jazyk","Gymnázium 8 leté","Didaktický test",13,0,"72.2","76.7","13.5"
"Gymnázium a Jazyková škola s právem státní jazykové zkoušky Svitavy","Anglický jazyk","Gymnázium 8 leté","Didaktický test",17,0,"68.0","91.0","3.0"
