"skola","predmet","obor","kraj","typ","konali","neuspeli","volba","prumer","odchylka"
"Jazykové gymnázium Pavla Tigrida. Ostrava-Poruba. příspěvková organizace","Anglický jazyk","Gymnázium 6 leté","Moravskoslezský","Ústní zkouška",76,0,"88.5","82.4",7
"PORG - gymnázium a základní škola. o.p.s.","Anglický jazyk","Gymnázium 8 leté","Praha","Ústní zkouška",24,0,"59.1","84.5",3
"Gymnázium Ostrov","Anglický jazyk","Gymnázium 8 leté","Karlovarský","Ústní zkouška",59,0,"78.9","74.6","11.7"
"Biskupské gymnázium Brno a mateřská škola","Anglický jazyk","Gymnázium 8 leté","Jihomoravský","Ústní zkouška",79,0,58,"80.8","6.6"
"Gymnázium Brno-Řečkovice. příspěvková organizace","Anglický jazyk","Gymnázium 8 leté","Jihomoravský","Ústní zkouška",33,0,"54.1","82.9",7
"Gymnázium  Brno. třída Kapitána Jaroše. příspěvková organizace","Anglický jazyk","Gymnázium 8 leté","Jihomoravský","Ústní zkouška",37,0,"30.6","72.3",12
"OPEN GATE - gymnázium a základní škola. s.r.o.","Anglický jazyk","Gymnázium 8 leté","Středočeský","Ústní zkouška",18,0,100,"88.8",0
"Střední škola stavební - HORSTAV","Anglický jazyk","SOŠ technické 1","Olomoucký","Ústní zkouška",7,0,"44.4","69.8","19.8"
"První soukromé jazykové gymnázium Hradec Králové. spol. s r.o.","Český jazyk a literatura","Gymnázium 6 leté","Královéhradecký","Ústní zkouška",50,0,,78,"8.8"
"Gymnázium. Broumov. Hradební 218","Český jazyk a literatura","Gymnázium 8 leté","Královéhradecký","Ústní zkouška",49,0,,"74.5","12.6"
"Gymnázium Uherské Hradiště","Český jazyk a literatura","Gymnázium 8 leté","Zlínský","Ústní zkouška",171,0,,"76.4","10.1"
"Střední škola uměleckomanažerská. s.r.o.","Český jazyk a literatura","SOŠ hotelové a podnikatelské","Jihomoravský","Ústní zkouška",31,0,,"76.8","9.7"
"Střední škola uměleckomanažerská. s.r.o.","Český jazyk a literatura","SOŠ umělecké","Jihomoravský","Ústní zkouška",31,0,,"76.8","9.7"
"Gymnázium. Praha 9. Českolipská 373","Francouzský jazyk","Gymnázium 8 leté","Praha","Ústní zkouška",4,0,"4.9","68.3","1.3"
"Škola mezinárodních a veřejných vztahů Praha. Střední odborná škola. s.r.o.","Ruský jazyk","SOŠ pedagogické a humanitní","Praha","Ústní zkouška",2,0,"9.3","90.9",0
"Biskupské gymnázium J. N. Neumanna a Církevní základní škola","Španělský jazyk","Gymnázium 6 leté","Jihočeský","Ústní zkouška",5,0,"5.3","68.2","6.4"
"Základní škola německo-českého porozumění a Gymnázium Thomase Manna. o.p.s.","Německý jazyk","Gymnázium 8 leté","Praha","Didaktický test",7,0,"43.8","94.6","3.8"
"Střední odborná škola pro administrativu Evropské unie. Praha 9. Lipí 1911","Ruský jazyk","SOŠ pedagogické a humanitní","Praha","Ústní zkouška",4,0,"1.9","84.2","1.5"
"Biskupské gymnázium J. N. Neumanna a Církevní základní škola","Německý jazyk","Gymnázium 6 leté","Jihočeský","Didaktický test",14,0,"14.7","94.9",6
"Biskupské gymnázium J. N. Neumanna a Církevní základní škola","Německý jazyk","Gymnázium 8 leté","Jihočeský","Didaktický test",14,0,"14.7","94.9",6
"Gymnázium Chotěboř","Český jazyk a literatura","Gymnázium 4 leté","Vysočina","Ústní zkouška",50,0,,"67.6","16.2"
,"Český jazyk a literatura","Gymnázium 4 leté","Královéhradecký","Ústní zkouška",10,0,,"80.7","7.6"
"Gymnázium Chotěboř","Český jazyk a literatura","Gymnázium 8 leté","Vysočina","Ústní zkouška",50,0,,"67.6","16.2"
"Střední uměleckoprůmyslová škola a Vyšší odborná škola. Jablonec nad Nisou. Horní náměstí 1. příspěvková organizace","Český jazyk a literatura","SOŠ umělecké","Liberecký","Ústní zkouška",22,0,,"73.4",11
"OPEN GATE - gymnázium a základní škola. s.r.o.","Anglický jazyk","Gymnázium 8 leté","Středočeský","Didaktický test",18,0,100,"95.9","1.9"
"Gymnázium Jana Nerudy. škola hlavního města Prahy. Praha 1. Hellichova 3","Francouzský jazyk","Gymnázium 6 leté","Praha","Didaktický test",5,0,"9.4","89.2","6.3"
"Gymnázium Matyáše Lercha. Brno. Žižkova 55. příspěvková organizace","Německý jazyk","Gymnázium 8 leté","Jihomoravský","Didaktický test",7,0,"7.7","95.6","2.7"
"Střední škola dopravy. obchodu a služeb Moravský Krumlov. příspěvková organizace","Německý jazyk","SOŠ hotelové a podnikatelské","Jihomoravský","Didaktický test",3,0,"6.5","94.4","2.4"
"Škola mezinárodních a veřejných vztahů Praha. Střední odborná škola. s.r.o.","Anglický jazyk","SOŠ pedagogické a humanitní","Praha","Ústní zkouška",16,1,"76.7","63.2","21.8"
"Gymnázium. Praha 10. Omská 1300","Anglický jazyk","Gymnázium 4 leté","Praha","Ústní zkouška",66,1,"90.5","74.1","15.3"
"Gymnázium. Praha 10. Omská 1300","Anglický jazyk","Gymnázium 8 leté","Praha","Ústní zkouška",66,1,"90.5","74.1","15.3"
"Gymnázium Jana Keplera. Praha 6. Parléřova 2","Anglický jazyk","Gymnázium 4 leté","Praha","Ústní zkouška",15,0,14,"76.3",8
"Gymnázium. Praha 9. Českolipská 373","Anglický jazyk","Gymnázium 4 leté","Praha","Ústní zkouška",48,0,"60.5",80,"4.8"
"Gymnázium. Kolín III. Žižkova 162","Anglický jazyk","Gymnázium 4 leté","Středočeský","Ústní zkouška",69,0,75,"73.9","12.4"
"GYMNÁZIUM KARLA ČAPKA. DOBŘÍŠ. ŠKOLNÍ 1530","Anglický jazyk","Gymnázium 4 leté","Středočeský","Ústní zkouška",53,0,"94.6","73.4","11.7"
"Česko-anglické gymnázium s.r.o.","Anglický jazyk","Gymnázium 4 leté","Jihočeský","Ústní zkouška",23,0,"95.8","74.4","8.4"
"Gymnázium Havlíčkův Brod","Anglický jazyk","Gymnázium 4 leté","Vysočina","Ústní zkouška",52,0,"57.8","74.1","10.6"
"Gymnázium a Jazyková škola s právem státní jazykové zkoušky Svitavy","Anglický jazyk","Gymnázium 4 leté","Pardubický","Ústní zkouška",31,0,"58.5","76.7","7.5"
"Gymnázium Brno. Slovanské náměstí. příspěvková organizace","Anglický jazyk","Gymnázium 4 leté","Jihomoravský","Ústní zkouška",90,0,"85.2","77.3",9
"Purkyňovo gymnázium. Strážnice. Masarykova 379. příspěvková organizace","Anglický jazyk","Gymnázium 4 leté","Jihomoravský","Ústní zkouška",48,0,"81.4","75.5",9
"Gymnázium. Havířov-Podlesí. příspěvková organizace","Anglický jazyk","Gymnázium 4 leté","Moravskoslezský","Ústní zkouška",57,0,74,"75.9","9.2"
"Masarykovo gymnázium. Příbor. příspěvková organizace","Anglický jazyk","Gymnázium 4 leté","Moravskoslezský","Ústní zkouška",16,0,"23.2","79.8","8.1"
"Gymnázium. Šternberk. Horní náměstí 5","Anglický jazyk","Gymnázium 4 leté","Olomoucký","Ústní zkouška",48,0,"78.7","74.4","9.5"
"Slezské gymnázium. Opava. příspěvková organizace","Anglický jazyk","Gymnázium 4 leté","Moravskoslezský","Ústní zkouška",39,0,"41.1","76.6","6.4"
"Gymnázium Olgy Havlové. Ostrava - Poruba. příspěvková organizace","Anglický jazyk","Gymnázium 4 leté","Moravskoslezský","Ústní zkouška",50,0,"64.6","76.2","7.8"
"EKO GYMNÁZIUM Praha o.p.s.","Ruský jazyk","Gymnázium 4 leté","Praha","Ústní zkouška",7,0,"26.9","81.4","2.3"
"1.Slovanské gymnázium a jazyková škola s právem státní jazykové zkoušky","Ruský jazyk","Gymnázium 4 leté","Praha","Ústní zkouška",11,0,"36.7",78,"2.3"
"Gymnázium Brno. Slovanské náměstí. příspěvková organizace","Anglický jazyk","Gymnázium 6 leté","Jihomoravský","Ústní zkouška",90,0,"85.2","77.3",9
"Gymnázium ALTIS s.r.o.","Anglický jazyk","Gymnázium 8 leté","Praha","Ústní zkouška",13,0,"54.2","80.4","6.1"
"Gymnázium Jaroslava Heyrovského. Praha 5. Mezi Školami 2475","Anglický jazyk","Gymnázium 8 leté","Praha","Ústní zkouška",27,0,"52.9","69.7",15
"Gymnázium. Praha 8. Ústavní 400","Anglický jazyk","Gymnázium 8 leté","Praha","Ústní zkouška",16,0,32,"76.2","7.6"
"Gymnázium. Praha 9. Českolipská 373","Anglický jazyk","Gymnázium 8 leté","Praha","Ústní zkouška",48,0,"60.5",80,"4.8"
"Gymnázium. Kolín III. Žižkova 162","Anglický jazyk","Gymnázium 8 leté","Středočeský","Ústní zkouška",69,0,75,"73.9","12.4"
"GYMNÁZIUM KARLA ČAPKA. DOBŘÍŠ. ŠKOLNÍ 1530","Anglický jazyk","Gymnázium 8 leté","Středočeský","Ústní zkouška",53,0,"94.6","73.4","11.7"
"Gymnázium. Týn nad Vltavou. Havlíčkova 13","Anglický jazyk","Gymnázium 8 leté","Jihočeský","Ústní zkouška",17,0,"58.6","82.9",4
"Česko-anglické gymnázium s.r.o.","Anglický jazyk","Gymnázium 8 leté","Jihočeský","Ústní zkouška",23,0,"95.8","74.4","8.4"
"Gymnázium Havlíčkův Brod","Anglický jazyk","Gymnázium 8 leté","Vysočina","Ústní zkouška",52,0,"57.8","74.1","10.6"
"Gymnázium a Jazyková škola s právem státní jazykové zkoušky Svitavy","Anglický jazyk","Gymnázium 8 leté","Pardubický","Ústní zkouška",31,0,"58.5","76.7","7.5"
"Městské víceleté gymnázium Klobouky u Brna. příspěvková organizace","Anglický jazyk","Gymnázium 8 leté","Jihomoravský","Ústní zkouška",15,0,"68.2","64.8","17.3"
"Purkyňovo gymnázium. Strážnice. Masarykova 379. příspěvková organizace","Anglický jazyk","Gymnázium 8 leté","Jihomoravský","Ústní zkouška",48,0,"81.4","75.5",9
"Gymnázium. Havířov-Podlesí. příspěvková organizace","Anglický jazyk","Gymnázium 8 leté","Moravskoslezský","Ústní zkouška",57,0,74,"75.9","9.2"
"Gymnázium. Šternberk. Horní náměstí 5","Anglický jazyk","Gymnázium 8 leté","Olomoucký","Ústní zkouška",48,0,"78.7","74.4","9.5"
"Gymnázium Olgy Havlové. Ostrava - Poruba. příspěvková organizace","Anglický jazyk","Gymnázium 8 leté","Moravskoslezský","Ústní zkouška",50,0,"64.6","76.2","7.8"
"Církevní gymnázium v Kutné Hoře","Anglický jazyk","Gymnázium 8 leté","Středočeský","Ústní zkouška",18,0,"79.2","79.8","5.7"
"Střední průmyslová škola elektrotechnická. Havířov. příspěvková organizace","Anglický jazyk","SOŠ technické 1","Moravskoslezský","Ústní zkouška",38,0,"56.9",82,5
"Gymnázium Matyáše Lercha. Brno. Žižkova 55. příspěvková organizace","Německý jazyk","Gymnázium 8 leté","Jihomoravský","Ústní zkouška",7,0,"7.7",88,"2.9"
"Střední škola Podnikatelská akademie a základní škola. s.r.o.","Ruský jazyk","SOŠ hotelové a podnikatelské","Praha","Ústní zkouška",2,0,"19.4","86.6","3.6"
"Střední zdravotnická škola","Ruský jazyk","SOŠ zdravotnické","Praha","Ústní zkouška",6,0,"7.2","73.6","8.2"
"Klasické a španělské gymnázium Brno-Bystrc. příspěvková organizace","Španělský jazyk","Gymnázium 6 leté","Jihomoravský","Ústní zkouška",11,0,10,"59.2","8.1"
"Gymnázium. Praha 9. Českolipská 373","Francouzský jazyk","Gymnázium 8 leté","Praha","Didaktický test",4,0,"4.9","90.7","1.5"
"Střední uměleckoprůmyslová škola. Bechyně. Písecká 203","Ruský jazyk","SOŠ umělecké","Jihočeský","Písemná práce",5,1,"10.2","72.5","28.6"
"Gymnázium Oty Pavla. Praha 5. Loučanská 520","Anglický jazyk","Gymnázium 4 leté","Praha","Písemná práce",33,0,"64.7","87.5",6
"Gymnázium. Praha 9. Českolipská 373","Anglický jazyk","Gymnázium 4 leté","Praha","Písemná práce",47,0,"60.5","84.9","3.7"
"Gymnázium. Praha 9. Špitálská 2","Anglický jazyk","Gymnázium 4 leté","Praha","Písemná práce",26,0,"46.6","86.9","5.6"
"Gymnázium. Praha 10. Omská 1300","Anglický jazyk","Gymnázium 4 leté","Praha","Písemná práce",66,0,"90.5",87,"4.8"
"Gymnázium. Kolín III. Žižkova 162","Anglický jazyk","Gymnázium 4 leté","Středočeský","Písemná práce",69,0,75,"81.5","8.6"
"Gymnázium J. S. Machara. Brandýs nad Labem - Stará Boleslav. Královická 668","Anglický jazyk","Gymnázium 4 leté","Středočeský","Písemná práce",40,0,"69.5","86.5","5.9"
"Biskupské gymnázium J. N. Neumanna a Církevní základní škola","Anglický jazyk","Gymnázium 4 leté","Jihočeský","Písemná práce",59,0,"62.1",88,"4.3"
"Gymnázium Cheb","Anglický jazyk","Gymnázium 4 leté","Karlovarský","Písemná práce",22,0,"36.8","85.6","5.1"
"Gymnázium. Sušice. Fr. Procházky 324","Anglický jazyk","Gymnázium 4 leté","Plzeňský","Písemná práce",11,0,"27.7","87.5","3.8"
"První soukromé jazykové gymnázium Hradec Králové. spol. s r.o.","Anglický jazyk","Gymnázium 4 leté","Královéhradecký","Písemná práce",50,0,100,"86.1","4.4"
"Gymnázium Dr. Emila Holuba. Holice. Na Mušce 1110","Anglický jazyk","Gymnázium 4 leté","Pardubický","Písemná práce",47,0,"96.1","84.4","6.5"
"Gymnázium. Pardubice. Dašická 1083","Anglický jazyk","Gymnázium 4 leté","Pardubický","Písemná práce",93,0,"77.2","83.9","5.4"
"Gymnázium a Jazyková škola s právem státní jazykové zkoušky Svitavy","Anglický jazyk","Gymnázium 4 leté","Pardubický","Písemná práce",31,0,"58.5","89.2","3.6"
"Gymnázium. Polička. nábřeží Svobody 306","Anglický jazyk","Gymnázium 4 leté","Pardubický","Písemná práce",21,0,"36.8","85.4","3.5"
"Gymnázium. Česká Třebová. Tyršovo náměstí 970","Anglický jazyk","Gymnázium 4 leté","Pardubický","Písemná práce",54,0,"91.7","84.8","5.6"
"Gymnázium Brno. Slovanské náměstí. příspěvková organizace","Anglický jazyk","Gymnázium 4 leté","Jihomoravský","Písemná práce",90,0,"85.2",84,"5.5"
"Klasické a španělské gymnázium Brno-Bystrc. příspěvková organizace","Anglický jazyk","Gymnázium 4 leté","Jihomoravský","Písemná práce",78,0,"75.5",88,"4.2"
"Gymnázium Moravský Kurmlov. příspěvková organizace","Anglický jazyk","Gymnázium 4 leté","Jihomoravský","Písemná práce",22,0,"83.3","86.1","7.6"
"Slovanské gymnázium. Olomouc. tř. Jiřího z Poděbrad 13","Anglický jazyk","Gymnázium 4 leté","Olomoucký","Písemná práce",24,0,"20.3","88.4","5.3"
"Gymnázium Olgy Havlové. Ostrava - Poruba. příspěvková organizace","Anglický jazyk","Gymnázium 4 leté","Moravskoslezský","Písemná práce",50,0,"64.6","85.1","4.7"
"Gymnázium. Jeseník. Komenského 281","Anglický jazyk","Gymnázium 4 leté","Olomoucký","Písemná práce",39,0,"63.5","82.9","5.1"
"Gymnázium. základní škola a mateřská škola Mánesova s.r.o.","Anglický jazyk","Gymnázium 4 leté","Karlovarský","Písemná práce",5,0,"83.3","83.5","8.5"
"1st International School of Ostrava - základní škola a gymnázium. s.r.o.","Anglický jazyk","Gymnázium 4 leté","Moravskoslezský","Písemná práce",26,0,"96.6","87.8","5.7"
"Gymnázium Ivana Olbrachta. Semily. Nad Špejcharem 574. příspěvková organizace","Německý jazyk","Gymnázium 4 leté","Liberecký","Písemná práce",5,0,"9.3","88.2","9.5"
"Gymnázium Františka Palackého Valašské Meziříčí","Ruský jazyk","Gymnázium 4 leté","Zlínský","Písemná práce",5,0,"6.1","81.8","4.6"
"Gymnázium Oty Pavla. Praha 5. Loučanská 520","Anglický jazyk","Gymnázium 6 leté","Praha","Písemná práce",33,0,"64.7","87.5",6
"Biskupské gymnázium J. N. Neumanna a Církevní základní škola","Anglický jazyk","Gymnázium 6 leté","Jihočeský","Písemná práce",59,0,"62.1",88,"4.3"
"První soukromé jazykové gymnázium Hradec Králové. spol. s r.o.","Anglický jazyk","Gymnázium 6 leté","Královéhradecký","Písemná práce",50,0,100,"86.1","4.4"
"Gymnázium Brno. Slovanské náměstí. příspěvková organizace","Anglický jazyk","Gymnázium 6 leté","Jihomoravský","Písemná práce",90,0,"85.2",84,"5.5"
"Klasické a španělské gymnázium Brno-Bystrc. příspěvková organizace","Anglický jazyk","Gymnázium 6 leté","Jihomoravský","Písemná práce",78,0,"75.5",88,"4.2"
"Gymnázium ALTIS s.r.o.","Anglický jazyk","Gymnázium 8 leté","Praha","Písemná práce",13,0,"54.2","90.4","3.8"
"PORG - gymnázium a základní škola. o.p.s.","Anglický jazyk","Gymnázium 8 leté","Praha","Písemná práce",24,0,"59.1","88.7","3.6"
"Gymnázium. Praha 9. Českolipská 373","Anglický jazyk","Gymnázium 8 leté","Praha","Písemná práce",47,0,"60.5","84.9","3.7"
"Gymnázium. Praha 9. Špitálská 2","Anglický jazyk","Gymnázium 8 leté","Praha","Písemná práce",26,0,"46.6","86.9","5.6"
"Gymnázium. Praha 10. Omská 1300","Anglický jazyk","Gymnázium 8 leté","Praha","Písemná práce",66,0,"90.5",87,"4.8"
"Gymnázium. Kolín III. Žižkova 162","Anglický jazyk","Gymnázium 8 leté","Středočeský","Písemná práce",69,0,75,"81.5","8.6"
"Gymnázium J. S. Machara. Brandýs nad Labem - Stará Boleslav. Královická 668","Anglický jazyk","Gymnázium 8 leté","Středočeský","Písemná práce",40,0,"69.5","86.5","5.9"
"Gymnázium. Trhové Sviny. Školní 995","Anglický jazyk","Gymnázium 8 leté","Jihočeský","Písemná práce",15,0,81,"84.6","6.4"
"Biskupské gymnázium J. N. Neumanna a Církevní základní škola","Anglický jazyk","Gymnázium 8 leté","Jihočeský","Písemná práce",59,0,"62.1",88,"4.3"
"Gymnázium Cheb","Anglický jazyk","Gymnázium 8 leté","Karlovarský","Písemná práce",22,0,"36.8","85.6","5.1"
"Gymnázium. Sušice. Fr. Procházky 324","Anglický jazyk","Gymnázium 8 leté","Plzeňský","Písemná práce",11,0,"27.7","87.5","3.8"
"Gymnázium Dr. Emila Holuba. Holice. Na Mušce 1110","Anglický jazyk","Gymnázium 8 leté","Pardubický","Písemná práce",47,0,"96.1","84.4","6.5"
"Gymnázium. Pardubice. Dašická 1083","Anglický jazyk","Gymnázium 8 leté","Pardubický","Písemná práce",93,0,"77.2","83.9","5.4"
"Gymnázium a Jazyková škola s právem státní jazykové zkoušky Svitavy","Anglický jazyk","Gymnázium 8 leté","Pardubický","Písemná práce",31,0,"58.5","89.2","3.6"
"Gymnázium. Polička. nábřeží Svobody 306","Anglický jazyk","Gymnázium 8 leté","Pardubický","Písemná práce",21,0,"36.8","85.4","3.5"
"Gymnázium. Česká Třebová. Tyršovo náměstí 970","Anglický jazyk","Gymnázium 8 leté","Pardubický","Písemná práce",54,0,"91.7","84.8","5.6"
"Gymnázium Brno-Řečkovice. příspěvková organizace","Anglický jazyk","Gymnázium 8 leté","Jihomoravský","Písemná práce",33,0,"54.1","88.4","4.5"
"EKO GYMNÁZIUM BRNO o.p.s.","Anglický jazyk","Gymnázium 8 leté","Jihomoravský","Písemná práce",13,0,"81.3","83.3","11.1"
"Klasické a španělské gymnázium Brno-Bystrc. příspěvková organizace","Anglický jazyk","Gymnázium 8 leté","Jihomoravský","Písemná práce",78,0,"75.5",88,"4.2"
"Gymnázium a Základní umělecká škola Šlapanice. příspěvková organizace","Anglický jazyk","Gymnázium 8 leté","Jihomoravský","Písemná práce",20,0,80,"88.6","3.8"
"Gymnázium Židlochovice. příspěvková organizace","Anglický jazyk","Gymnázium 8 leté","Jihomoravský","Písemná práce",13,0,52,"85.5",4
"Gymnázium Moravský Kurmlov. příspěvková organizace","Anglický jazyk","Gymnázium 8 leté","Jihomoravský","Písemná práce",22,0,"83.3","86.1","7.6"
"Slovanské gymnázium. Olomouc. tř. Jiřího z Poděbrad 13","Anglický jazyk","Gymnázium 8 leté","Olomoucký","Písemná práce",24,0,"20.3","88.4","5.3"
"Gymnázium Olgy Havlové. Ostrava - Poruba. příspěvková organizace","Anglický jazyk","Gymnázium 8 leté","Moravskoslezský","Písemná práce",50,0,"64.6","85.1","4.7"
"Gymnázium. Ostrava - Zábřeh. Volgogradská 6a. příspěvková organizace","Anglický jazyk","Gymnázium 8 leté","Moravskoslezský","Písemná práce",25,0,"54.3",83,"6.6"
"Gymnázium. Lipník nad Bečvou. Komenského sady 62. příspěvková organizace","Anglický jazyk","Gymnázium 8 leté","Olomoucký","Písemná práce",11,0,75,"87.1","2.1"
"Gymnázium. Jeseník. Komenského 281","Anglický jazyk","Gymnázium 8 leté","Olomoucký","Písemná práce",39,0,"63.5","82.9","5.1"
"Základní škola německo-českého porozumění a Gymnázium Thomase Manna. o.p.s.","Anglický jazyk","Gymnázium 8 leté","Praha","Písemná práce",9,0,"56.3","91.8","1.5"
"1st International School of Ostrava - základní škola a gymnázium. s.r.o.","Anglický jazyk","Gymnázium 8 leté","Moravskoslezský","Písemná práce",26,0,"96.6","87.8","5.7"
"Gymnázium mezinárodních a veřejných vztahů Praha s.r.o","Anglický jazyk","Gymnázium 8 leté","Praha","Písemná práce",25,0,"92.9","85.9","4.3"
"Střední odborné učiliště stavební. Opava. příspěvková organizace","Anglický jazyk","SOU technické","Moravskoslezský","Písemná práce",3,0,"38.5","68.9","17.6"
"Gymnázium Dr. Antona Randy. Jablonec nad Nisou. příspěvková organizace","Německý jazyk","Gymnázium 8 leté","Liberecký","Písemná práce",4,0,"5.2","92.4","2.3"
"Gymnázium. Dvůr Králové nad Labem. nám. Odboje 304","Ruský jazyk","Gymnázium 4 leté","Královéhradecký","Písemná práce",6,0,"13.6",89,"3.7"
"Soukromá střední průmyslová škola Břeclav. spol. s r.o. CULTUS","Anglický jazyk","SOŠ umělecké","Jihomoravský","Písemná práce",6,0,60,"71.1","22.9"
"Gymnázium Oty Pavla. Praha 5. Loučanská 520","Anglický jazyk","Gymnázium 6 leté","Praha","Didaktický test",33,0,"64.7","86.7","7.2"
"Gymnázium Jaroslava Heyrovského. Praha 5. Mezi Školami 2475","Anglický jazyk","Gymnázium 8 leté","Praha","Didaktický test",27,0,"52.9","92.1","6.4"
"PORG - gymnázium a základní škola. o.p.s.","Anglický jazyk","Gymnázium 8 leté","Praha","Didaktický test",24,0,"59.1","93.7","3.8"
"Gymnázium. Praha 9. Špitálská 2","Anglický jazyk","Gymnázium 8 leté","Praha","Didaktický test",26,0,"46.6","89.7","6.6"
"Základní škola německo-českého porozumění a Gymnázium Thomase Manna. o.p.s.","Anglický jazyk","Gymnázium 8 leté","Praha","Didaktický test",9,0,"56.3","89.2","3.9"
"Gymnázium Dr. Antona Randy. Jablonec nad Nisou. příspěvková organizace","Německý jazyk","Gymnázium 8 leté","Liberecký","Didaktický test",4,0,"5.2","93.7","4.2"
"Trojské gymnázium s.r.o.","Ruský jazyk","Gymnázium 8 leté","Praha","Didaktický test",7,0,"33.3","92.4","2.8"
"Gymnázium Jana Keplera. Praha 6. Parléřova 2","Anglický jazyk","Gymnázium 4 leté","Praha","Didaktický test",15,0,14,"89.5","4.5"
"Gymnázium. Praha 9. Špitálská 2","Anglický jazyk","Gymnázium 4 leté","Praha","Didaktický test",26,0,"46.6","89.7","6.6"
"Klasické a španělské gymnázium Brno-Bystrc. příspěvková organizace","Španělský jazyk","Gymnázium 6 leté","Jihomoravský","Didaktický test",11,0,10,"77.5","4.8"
"Gymnázium Oty Pavla. Praha 5. Loučanská 520","Anglický jazyk","Gymnázium 4 leté","Praha","Didaktický test",33,0,"64.7","86.7","7.2"
"Slezské gymnázium. Opava. příspěvková organizace","Český jazyk a literatura","Gymnázium 4 leté","Moravskoslezský","Ústní zkouška",95,4,,"68.7","18.5"
"Gymnázium. Praha 9. Špitálská 2","Český jazyk a literatura","Gymnázium 4 leté","Praha","Ústní zkouška",57,1,,"71.1","16.9"
"Gymnázium. Praha 9. Špitálská 2","Český jazyk a literatura","Gymnázium 8 leté","Praha","Ústní zkouška",57,1,,"71.1","16.9"
"Purkyňovo gymnázium. Strážnice. Masarykova 379. příspěvková organizace","Český jazyk a literatura","Gymnázium 4 leté","Jihomoravský","Ústní zkouška",59,1,,"73.6","16.8"
"Purkyňovo gymnázium. Strážnice. Masarykova 379. příspěvková organizace","Český jazyk a literatura","Gymnázium 8 leté","Jihomoravský","Ústní zkouška",59,1,,"73.6","16.8"
"PORG - gymnázium a základní škola. o.p.s.","Český jazyk a literatura","Gymnázium 8 leté","Praha","Ústní zkouška",61,1,,"72.5","17.6"
"Polské gymnázium – Polskie Gimnazjum im. Juliusza Słowackiego. Český Těšín. příspěvková organizace","Český jazyk a literatura","Gymnázium 4 leté","Moravskoslezský","Ústní zkouška",83,1,,"70.5","16.1"
"Gymnázium. Praha 6. Nad Alejí 1952","Český jazyk a literatura","Gymnázium 4 leté","Praha","Ústní zkouška",85,1,,"66.3","18.1"
"Gymnázium. Praha 6. Nad Alejí 1952","Český jazyk a literatura","Gymnázium 8 leté","Praha","Ústní zkouška",85,1,,"66.3","18.1"
"Matiční gymnázium. Ostrava. příspěvková organizace","Český jazyk a literatura","Gymnázium 4 leté","Moravskoslezský","Ústní zkouška",92,1,,"68.9","17.8"
"Matiční gymnázium. Ostrava. příspěvková organizace","Český jazyk a literatura","Gymnázium 8 leté","Moravskoslezský","Ústní zkouška",92,1,,"68.9","17.8"
