"skola","predmet","obor","kraj","typ","konali","neuspeli","volba","prumer","odchylka"
"Gymnázium. Praha 9. Špitálská 2","Anglický jazyk","Gymnázium 4 leté","Praha","Ústní zkouška",26,2,"46.6","76.9","18.7"
"Gymnázium. Praha 9. Špitálská 2","Anglický jazyk","Gymnázium 8 leté","Praha","Ústní zkouška",26,2,"46.6","76.9","18.7"
"Gymnázium Ostrov","Anglický jazyk","Gymnázium 4 leté","Karlovarský","Ústní zkouška",59,0,"78.9","74.6","11.7"
"První soukromé jazykové gymnázium Hradec Králové. spol. s r.o.","Anglický jazyk","Gymnázium 4 leté","Královéhradecký","Ústní zkouška",50,0,100,"84.4","4.5"
"Biskupské gymnázium Brno a mateřská škola","Anglický jazyk","Gymnázium 4 leté","Jihomoravský","Ústní zkouška",79,0,58,"80.8","6.6"
"Gymnázium  Brno. třída Kapitána Jaroše. příspěvková organizace","Anglický jazyk","Gymnázium 4 leté","Jihomoravský","Ústní zkouška",37,0,"30.6","72.3",12
"Jazykové gymnázium Pavla Tigrida. Ostrava-Poruba. příspěvková organizace","Anglický jazyk","Gymnázium 4 leté","Moravskoslezský","Ústní zkouška",76,0,"88.5","82.4",7
"Gymnázium. základní škola a mateřská škola Mánesova s.r.o.","Anglický jazyk","Gymnázium 4 leté","Karlovarský","Ústní zkouška",5,0,"83.3","79.2","6.9"
"První soukromé jazykové gymnázium Hradec Králové. spol. s r.o.","Český jazyk a literatura","Gymnázium 4 leté","Královéhradecký","Ústní zkouška",50,0,,78,"8.8"
"Gymnázium. Broumov. Hradební 218","Český jazyk a literatura","Gymnázium 4 leté","Královéhradecký","Ústní zkouška",49,0,,"74.5","12.6"
"Gymnázium Uherské Hradiště","Český jazyk a literatura","Gymnázium 4 leté","Zlínský","Ústní zkouška",171,0,,"76.4","10.1"
"Arcibiskupské gymnázium v Kroměříži","Ruský jazyk","Gymnázium 4 leté","Zlínský","Ústní zkouška",7,0,"7.9","76.3","9.9"
"Gymnázium Jaroslava Heyrovského. Praha 5. Mezi Školami 2475","Anglický jazyk","Gymnázium 8 leté","Praha","Písemná práce",27,0,"52.9",91,"3.7"
"Gymnázium. Týn nad Vltavou. Havlíčkova 13","Anglický jazyk","Gymnázium 8 leté","Jihočeský","Písemná práce",17,0,"58.6","91.9","4.4"
"První soukromé jazykové gymnázium Hradec Králové. spol. s r.o.","Anglický jazyk","Gymnázium 6 leté","Královéhradecký","Ústní zkouška",50,0,100,"84.4","4.5"
